serial_number,common_name,scientific_name,iucn_status,wlpa_schedule,analysed_long-term,analysed_current,long-term_trend_(%),long-term_trend_ci_(%),current_annual_change_(%),current_annual_change_ci_(%),"distribution_range_size_(units_of_10,000_sq._km.)","distribution_range_size_ci_(units_of_10,000_sq._km.)",long_term_status,current_status,distribution_status,status_of_conservation_concern,assessed_primarily_based_on,migratory_status,,flyway
730,Red-breasted Flycatcher,Ficedula parva,Least Concern,Schedule-IV,X,X,-28.1023891,24.68786799,-4.365819942,5.384234384,68.8682703,0.0899,Stable,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
738,Blue-capped Rock Thrush,Monticola cinclorhyncha,Least Concern,Schedule-IV,X,X,-37.30059666,27.10478312,-2.57091731,6.621949718,10.3561617,0.1535,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,local
739,Blue Rock Thrush,Monticola solitarius,Least Concern,Schedule-IV,X,X,-71.3722405,15.44103516,-6.090934502,8.449525563,56.6823178,0.1083,Strong Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Local,,local
741,Hodgson's Bushchat,Saxicola insignis,Vulnerable,Schedule-IV,,,NA,NA,NA,NA,NA,NA,Data Deficient,Data Deficient,Data Deficient,High,Lack of data,Migratory-Long-Distance,,china
742,Siberian Stonechat,Saxicola maurus,Least Concern,Schedule-IV,X,X,-3.604050648,27.91949474,0.638585516,5.243237358,99.9084766,0.0848,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local,,global
746,Variable Wheatear,Oenanthe picata,Least Concern,Schedule-IV,X,X,-58.42839568,59.90531637,-7.753292825,19.94760255,19.0140038,0.0795,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,ief
747,Desert Wheatear,Oenanthe deserti,Least Concern,Schedule-IV,X,X,-58.36333776,48.80368261,-2.263256296,19.33248622,21.1724529,0.0707,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,global
748,Isabelline Wheatear,Oenanthe isabellina,Least Concern,Schedule-IV,,X,NA,NA,2.685123895,13.39044434,14.8357262,0.0807,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,ief
757,Pied Thrush,Geokichla wardii,Least Concern,Schedule-IV,,,NA,NA,NA,NA,1.0138856,0.1341,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Migratory-Local,,local
762,Tickell's Thrush,Turdus unicolor,Least Concern,Schedule-IV,X,X,-48.15272921,64.83946431,0.633036849,24.24048728,5.7200428,0.069,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,local
803,Altai Accentor,Prunella himalayana,Least Concern,Schedule-IV,,,NA,NA,NA,NA,2.4930553,0.0838,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Migratory-Long-Distance,,caf
806,Black-throated Accentor,Prunella atrogularis,Least Concern,Schedule-IV,,,NA,NA,NA,NA,5.8234612,0.0827,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance,,caf
808,Forest Wagtail,Dendronanthus indicus,Least Concern,Schedule-IV,X,X,-72.56130321,12.69065379,-9.759364934,5.620321563,23.8132404,0.0607,Strong Decline,Strong Decline,Moderate,High,Trends,Migratory-Long-Distance,,china
809,Grey Wagtail,Motacilla cinerea,Least Concern,Schedule-IV,X,X,-36.30106648,13.3801984,-3.532265036,3.175747455,115.2153571,0.0986,Stable,Uncertain,Very Large,Low,Trends & Range Size,Migratory-Local,,global
810,Western Yellow Wagtail,Motacilla flava,Least Concern,Schedule-IV,X,X,-28.2877013,16.12466794,-0.451225185,3.741949546,126.7591155,0.1037,Stable,Uncertain,Very Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
811,Citrine Wagtail,Motacilla citreola,Least Concern,Schedule-IV,X,X,-12.86838768,39.07003131,2.163632754,8.305083834,73.9757566,0.0903,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local,,global
813,White Wagtail,Motacilla alba,Least Concern,Schedule-IV,X,X,-47.06335573,13.83235471,-1.341661526,4.567019179,161.7395218,0.0984,Moderate Decline,Uncertain,Very Large,Moderate,Trends & Range Size,Migratory-Long-Distance,,global
814,Richard's Pipit,Anthus richardi,Least Concern,Schedule-IV,X,X,-93.48218105,7.160897218,-11.95683701,11.98305331,15.1985997,0.0969,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance,,global
817,Blyth's Pipit,Anthus godlewskii,Least Concern,Schedule-IV,,X,NA,NA,10.06539777,18.4840869,16.2595055,0.1653,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,caf
818,Tawny Pipit,Anthus campestris,Least Concern,Schedule-IV,X,X,-69.75499277,25.56572139,-2.236819299,14.10193829,50.249065,0.0947,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Long-Distance,,ief/caf
821,Rosy Pipit,Anthus roseatus,Least Concern,Schedule-IV,X,X,-36.92697717,122.5384812,6.55640314,43.57136986,9.0602184,0.1102,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,china/local
822,Tree Pipit,Anthus trivialis,Least Concern,Schedule-IV,X,X,-50.48980175,73.04767642,5.820917845,32.00670844,56.7402774,0.1116,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local,,ief/caf
823,Olive-backed Pipit,Anthus hodgsoni,Least Concern,Schedule-IV,X,X,-69.79568137,29.27253185,-5.444031669,14.80326066,40.7407513,0.0895,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Local,,china/local
827,Common Rosefinch,Carpodacus erythrinus,Least Concern,Schedule-IV,X,X,-23.23421205,33.7514851,1.042418144,7.874055218,40.8606015,0.0832,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local,,ief/local
844,Crested Bunting,Emberiza lathami,Least Concern,Schedule-IV,X,X,-62.53565476,18.24747338,-12.40644879,5.35015162,10.4925361,0.0692,Moderate Decline,Strong Decline,Moderate,Moderate,Trends & Range Size,Migratory-Local,,local
845,Black-headed Bunting,Emberiza melanocephala,Least Concern,Schedule-IV,,X,NA,NA,20.7166663,20.43194599,15.7617643,0.0767,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,ief
846,Red-headed Bunting,Emberiza bruniceps,Least Concern,Schedule-IV,,X,NA,NA,5.105035155,19.76406781,16.771658,0.0911,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,caf
848,White-capped Bunting,Emberiza stewarti,Least Concern,Schedule-IV,,X,NA,NA,18.62570564,39.69076461,0.7528218,0.0848,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Migratory-Local,,caf
849,Grey-necked Bunting,Emberiza buchanani,Least Concern,Schedule-IV,,X,NA,NA,-1.535670762,33.68062333,13.5539488,0.0738,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,ief/caf
850,Yellow-breasted Bunting,Emberiza aureola,Critically Endangered,Schedule-IV,,,NA,NA,NA,NA,NA,NA,Data Deficient,Data Deficient,Data Deficient,High,Lack of data,Migratory-Long-Distance,,china
